                     sepal_length
       ┌                                        ┐ 
   5.0 ┤■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■ 10   
   5.1 ┤■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■ 9        
   6.3 ┤■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■ 9        
   5.7 ┤■■■■■■■■■■■■■■■■■■■■■■■■■■■■■ 8           
   6.7 ┤■■■■■■■■■■■■■■■■■■■■■■■■■■■■■ 8           
   5.5 ┤■■■■■■■■■■■■■■■■■■■■■■■■■ 7               
   5.8 ┤■■■■■■■■■■■■■■■■■■■■■■■■■ 7               
   6.4 ┤■■■■■■■■■■■■■■■■■■■■■■■■■ 7               
   4.9 ┤■■■■■■■■■■■■■■■■■■■■■■ 6                  
   5.4 ┤■■■■■■■■■■■■■■■■■■■■■■ 6                  
   5.6 ┤■■■■■■■■■■■■■■■■■■■■■■ 6                  
   6.0 ┤■■■■■■■■■■■■■■■■■■■■■■ 6                  
   6.1 ┤■■■■■■■■■■■■■■■■■■■■■■ 6                  
   4.8 ┤■■■■■■■■■■■■■■■■■■ 5                      
   6.5 ┤■■■■■■■■■■■■■■■■■■ 5                      
   4.6 ┤■■■■■■■■■■■■■■ 4                          
   5.2 ┤■■■■■■■■■■■■■■ 4                          
   6.2 ┤■■■■■■■■■■■■■■ 4                          
   6.9 ┤■■■■■■■■■■■■■■ 4                          
   7.7 ┤■■■■■■■■■■■■■■ 4                          
   4.4 ┤■■■■■■■■■■■ 3                             
   5.9 ┤■■■■■■■■■■■ 3                             
   6.8 ┤■■■■■■■■■■■ 3                             
   7.2 ┤■■■■■■■■■■■ 3                             
   4.7 ┤■■■■■■■ 2                                 
   6.6 ┤■■■■■■■ 2                                 
   4.3 ┤■■■■ 1                                    
   4.5 ┤■■■■ 1                                    
   5.3 ┤■■■■ 1                                    
   7.0 ┤■■■■ 1                                    
   7.1 ┤■■■■ 1                                    
   7.3 ┤■■■■ 1                                    
   7.4 ┤■■■■ 1                                    
   7.6 ┤■■■■ 1                                    
   7.9 ┤■■■■ 1                                    
       └                                        ┘ 
